% TITLE: Pre-processed output of Malcious Mining for Classification 
% Collected using the Malicous Crawler 

@RELATION MaliciousMining 

@ATTRIBUTE id NUMERIC 
@ATTRIBUTE url_length NUMERIC 
@ATTRIBUTE https_used {0,1} 
@ATTRIBUTE document_length NUMERIC 
@ATTRIBUTE re_direction {0,1} 
@ATTRIBUTE cloaking {0,1} 
@ATTRIBUTE javascript_length NUMERIC 
@ATTRIBUTE no_eval NUMERIC 
@ATTRIBUTE no_document_writes NUMERIC 
@ATTRIBUTE maliciousness_found {YES,NO} 

@DATA 
2041,48,0,43194,0,0,2741,0,0,NO
2042,52,0,43194,0,0,2741,0,0,NO
2043,47,0,43194,0,0,2741,0,0,NO
2044,52,0,43194,0,0,2741,0,0,NO
2045,51,0,43194,0,0,2741,0,0,NO
2046,49,0,43194,0,0,2741,0,0,NO
2047,45,0,43194,0,0,2741,0,0,NO
2048,36,0,16090,0,0,3389,0,0,NO
2049,25,0,36167,0,0,13804,0,2,NO
2050,21,0,35636,0,0,7694,0,1,NO
2051,24,0,14044,0,0,753,0,0,NO
2052,43,0,22072,0,0,3903,0,0,NO
2053,20,0,65494,0,0,3309,0,0,NO
2054,47,0,31558,0,0,2741,0,0,NO
2055,44,0,31558,0,0,2741,0,0,NO
2056,25,0,65496,0,0,3309,0,0,NO
2057,27,0,35228,0,0,7334,0,1,NO
2058,28,0,19181,0,0,2095,0,0,NO
2059,24,0,24321,0,0,3753,0,2,NO
2060,51,0,31558,0,0,2741,0,0,NO
2061,54,0,31558,0,0,2741,0,0,NO
2062,47,0,31558,0,0,2741,0,0,NO
2063,53,0,31558,0,0,2741,0,0,NO
2064,51,0,31558,0,0,2741,0,0,NO
2065,49,0,31558,0,0,2741,0,0,NO
2066,47,0,31558,0,0,2741,0,0,NO
2067,58,0,31558,0,0,2741,0,0,NO
2068,54,0,31558,0,0,2741,0,0,NO
2069,59,0,31558,0,0,2741,0,0,NO
2070,54,0,31558,0,0,2741,0,0,NO
2071,48,0,31558,0,0,2741,0,0,NO
2072,49,0,31558,0,0,2741,0,0,NO
2073,43,0,52741,0,0,9704,0,1,NO
2074,40,0,156180,0,0,81538,0,1,NO
2075,31,0,121525,0,0,72172,0,1,NO
2076,32,0,139828,0,0,81396,0,1,NO
2077,33,0,156249,0,0,81452,2,1,NO
2078,34,0,136108,0,0,79752,0,1,NO
2079,48,0,63129,0,0,9004,0,0,NO
2080,56,0,44441,0,0,9196,0,1,NO
2081,59,0,48739,0,0,4836,0,1,NO
2082,29,0,82239,0,0,47310,0,1,NO
2083,78,1,60853,0,0,24003,0,0,NO
2084,62,1,242456,0,0,8450,0,0,NO
2085,30,0,129191,0,0,39642,0,1,NO
2086,30,0,164788,0,0,81968,0,1,NO
2087,37,0,167133,0,0,85500,0,1,NO
2088,37,0,167126,0,0,85490,0,1,NO
2089,84,1,57981,0,0,23973,0,0,NO
2090,62,1,228597,0,0,8450,0,0,NO
2091,76,0,77157,0,0,20195,1,2,NO
2092,40,0,44441,0,0,9196,0,1,NO
2093,56,0,44441,0,0,9196,0,1,NO
2094,58,0,44441,0,0,9196,0,1,NO
2095,57,0,44441,0,0,9196,0,1,NO
2096,59,0,44442,0,0,9197,0,1,NO
2097,80,0,92102,0,0,42550,0,7,NO
2098,28,0,113347,0,0,7237,0,0,NO
2099,26,0,32839,0,0,2738,0,2,NO
2100,68,0,32839,0,0,2738,0,2,NO
2101,71,0,32839,0,0,2738,0,2,NO
2102,34,0,108090,0,0,11741,0,2,NO
2103,62,0,147327,0,0,116166,0,1,NO
2104,24,0,141908,0,0,59158,0,1,NO
2105,36,0,28530,0,0,4507,0,1,NO
2106,39,0,28531,0,0,4505,0,1,NO
2107,37,0,28531,0,0,4507,0,1,NO
2108,89,0,92102,0,0,42550,0,7,NO
2109,69,0,124245,0,0,5727,0,2,NO
2110,56,0,33896,0,0,4624,0,1,NO
2111,59,0,77158,0,0,20196,1,2,NO
2112,47,0,74538,0,0,4053,0,2,NO
2113,56,0,82293,0,0,47337,0,1,NO
